Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,source,State,TotalSamples,Negative,Positive
1.0,30/01/20,6:00 PM,Kerala,1,0,0.0,0.0,1.0,train,,,,
2.0,31/01/20,6:00 PM,Kerala,1,0,0.0,0.0,1.0,train,,,,
3.0,01/02/20,6:00 PM,Kerala,2,0,0.0,0.0,2.0,train,,,,
4.0,02/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
5.0,03/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
6.0,04/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
7.0,05/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
8.0,06/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
9.0,07/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
10.0,08/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
11.0,09/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
12.0,10/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
13.0,11/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
14.0,12/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
15.0,13/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
16.0,14/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
17.0,15/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
18.0,16/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
19.0,17/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
20.0,18/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
21.0,19/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
22.0,20/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
23.0,21/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
24.0,22/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
25.0,23/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
26.0,24/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
27.0,25/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
28.0,26/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
29.0,27/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
30.0,28/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
31.0,29/02/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
32.0,01/03/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
33.0,02/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
34.0,02/03/20,6:00 PM,Kerala,3,0,0.0,0.0,3.0,train,,,,
35.0,02/03/20,6:00 PM,Delhi,1,0,0.0,0.0,1.0,train,,,,
36.0,03/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
37.0,03/03/20,6:00 PM,Rajasthan,0,1,0.0,0.0,1.0,train,,,,
38.0,03/03/20,6:00 PM,Kerala,3,0,3.0,0.0,3.0,train,,,,
39.0,03/03/20,6:00 PM,Delhi,1,0,0.0,0.0,1.0,train,,,,
40.0,04/03/20,6:00 PM,Uttar Pradesh,6,0,0.0,0.0,6.0,train,,,,
41.0,04/03/20,6:00 PM,Kerala,3,0,3.0,0.0,3.0,train,,,,
42.0,04/03/20,6:00 PM,Haryana,0,2,0.0,0.0,2.0,train,,,,
43.0,04/03/20,6:00 PM,Delhi,1,0,0.0,0.0,1.0,train,,,,
44.0,04/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
45.0,04/03/20,6:00 PM,Rajasthan,1,14,0.0,0.0,15.0,train,,,,
46.0,05/03/20,6:00 PM,Delhi,2,0,0.0,0.0,2.0,train,,,,
47.0,05/03/20,6:00 PM,Haryana,0,2,0.0,0.0,2.0,train,,,,
48.0,05/03/20,6:00 PM,Kerala,3,0,3.0,0.0,3.0,train,,,,
49.0,05/03/20,6:00 PM,Rajasthan,1,14,0.0,0.0,15.0,train,,,,
50.0,05/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
51.0,05/03/20,6:00 PM,Uttar Pradesh,7,0,0.0,0.0,7.0,train,,,,
52.0,06/03/20,6:00 PM,Delhi,3,0,0.0,0.0,3.0,train,,,,
53.0,06/03/20,6:00 PM,Haryana,0,2,0.0,0.0,2.0,train,,,,
54.0,06/03/20,6:00 PM,Kerala,3,0,3.0,0.0,3.0,train,,,,
55.0,06/03/20,6:00 PM,Rajasthan,1,14,0.0,0.0,15.0,train,,,,
56.0,06/03/20,6:00 PM,Uttar Pradesh,7,0,0.0,0.0,7.0,train,,,,
57.0,06/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
58.0,07/03/20,6:00 PM,Kerala,3,0,3.0,0.0,3.0,train,,,,
59.0,07/03/20,6:00 PM,Uttar Pradesh,7,0,0.0,0.0,7.0,train,,,,
60.0,07/03/20,6:00 PM,Ladakh,2,0,0.0,0.0,2.0,train,,,,
61.0,07/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
62.0,07/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
63.0,07/03/20,6:00 PM,Delhi,3,0,0.0,0.0,3.0,train,,,,
64.0,07/03/20,6:00 PM,Haryana,0,2,0.0,0.0,2.0,train,,,,
65.0,07/03/20,6:00 PM,Rajasthan,1,14,0.0,0.0,15.0,train,,,,
66.0,08/03/20,6:00 PM,Ladakh,2,0,0.0,0.0,2.0,train,,,,
67.0,08/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
68.0,08/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
69.0,08/03/20,6:00 PM,Rajasthan,1,14,0.0,0.0,15.0,train,,,,
70.0,08/03/20,6:00 PM,Kerala,8,0,3.0,0.0,8.0,train,,,,
71.0,08/03/20,6:00 PM,Haryana,0,2,0.0,0.0,2.0,train,,,,
72.0,08/03/20,6:00 PM,Delhi,3,0,0.0,0.0,3.0,train,,,,
73.0,08/03/20,6:00 PM,Uttar Pradesh,7,0,0.0,0.0,7.0,train,,,,
74.0,09/03/20,6:00 PM,Ladakh,2,0,0.0,0.0,2.0,train,,,,
75.0,09/03/20,6:00 PM,Karnataka,1,0,0.0,0.0,1.0,train,,,,
76.0,09/03/20,6:00 PM,Kerala,9,0,3.0,0.0,9.0,train,,,,
77.0,09/03/20,6:00 PM,Maharashtra,2,0,0.0,0.0,2.0,train,,,,
78.0,09/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
79.0,09/03/20,6:00 PM,Rajasthan,1,14,0.0,0.0,15.0,train,,,,
80.0,09/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
81.0,09/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
82.0,09/03/20,6:00 PM,Jammu and Kashmir,1,0,0.0,0.0,1.0,train,,,,
83.0,09/03/20,6:00 PM,Uttar Pradesh,7,0,0.0,0.0,7.0,train,,,,
84.0,09/03/20,6:00 PM,Haryana,0,2,0.0,0.0,2.0,train,,,,
85.0,09/03/20,6:00 PM,Delhi,4,0,0.0,0.0,4.0,train,,,,
86.0,10/03/20,6:00 PM,Uttar Pradesh,7,0,0.0,0.0,7.0,train,,,,
87.0,10/03/20,6:00 PM,Ladakh,2,0,0.0,0.0,2.0,train,,,,
88.0,10/03/20,6:00 PM,Delhi,4,0,0.0,0.0,4.0,train,,,,
89.0,10/03/20,6:00 PM,Haryana,0,2,0.0,0.0,2.0,train,,,,
90.0,10/03/20,6:00 PM,Karnataka,4,0,0.0,0.0,4.0,train,,,,
91.0,10/03/20,6:00 PM,Kerala,15,0,3.0,0.0,15.0,train,,,,
92.0,10/03/20,6:00 PM,Maharashtra,5,0,0.0,0.0,5.0,train,,,,
93.0,10/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
94.0,10/03/20,6:00 PM,Rajasthan,1,14,0.0,0.0,15.0,train,,,,
95.0,10/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
96.0,10/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
97.0,10/03/20,6:00 PM,Jammu and Kashmir,1,0,0.0,0.0,1.0,train,,,,
98.0,11/03/20,6:00 PM,Maharashtra,2,0,0.0,0.0,2.0,train,,,,
99.0,11/03/20,6:00 PM,Delhi,5,0,0.0,0.0,5.0,train,,,,
100.0,11/03/20,6:00 PM,Haryana,0,14,0.0,0.0,14.0,train,,,,
101.0,11/03/20,6:00 PM,Kerala,17,0,3.0,0.0,17.0,train,,,,
102.0,11/03/20,6:00 PM,Rajasthan,1,2,0.0,0.0,3.0,train,,,,
103.0,11/03/20,6:00 PM,Telengana,1,0,0.0,0.0,1.0,train,,,,
104.0,11/03/20,6:00 PM,Uttar Pradesh,9,0,0.0,0.0,9.0,train,,,,
105.0,11/03/20,6:00 PM,Ladakh,2,0,0.0,0.0,2.0,train,,,,
106.0,11/03/20,6:00 PM,Tamil Nadu,1,0,0.0,0.0,1.0,train,,,,
107.0,11/03/20,6:00 PM,Jammu and Kashmir,1,0,0.0,0.0,1.0,train,,,,
108.0,11/03/20,6:00 PM,Punjab,1,0,0.0,0.0,1.0,train,,,,
109.0,11/03/20,6:00 PM,Karnataka,4,0,0.0,0.0,4.0,train,,,,
110.0,12/03/20,6:00 PM,Delhi,6,0,0.0,0.0,6.0,train,,,,
111.0,12/03/20,6:00 PM,Haryana,0,14,0.0,0.0,14.0,train,,,,
112.0,12/03/20,6:00 PM,Kerala,17,0,3.0,0.0,17.0,train,,,,
